Estado,Municipio,RiscoFogo,FRP
PARÁ,BREU BRANCO,0.49,5.2
PARÁ,RONDON DO PARÁ,0.99,90.3
PARÁ,MEDICILÂNDIA,1.0,14.1
MARANHÃO,BOM JARDIM,0.92,13.1
PARÁ,GOIANÉSIA DO PARÁ,0.9,13.0
PARÁ,GOIANÉSIA DO PARÁ,0.71,8.3
PARÁ,VISEU,0.94,92.0
PARÁ,CHAVES,0.77,32.8
PARÁ,PLACAS,0.72,21.6
PARÁ,ORIXIMINÁ,1.0,121.9
PARÁ,PRAINHA,0.97,2392.4
PARÁ,MEDICILÂNDIA,0.93,94.8
PARÁ,PLACAS,0.9,16.5
PARÁ,BUJARU,0.59,41.0
PARÁ,ÓBIDOS,0.66,63.2
PARÁ,PORTEL,0.92,16.4
PARÁ,OEIRAS DO PARÁ,0.88,70.8
PARÁ,TUCURUÍ,0.38,10.2
PARÁ,PRAINHA,1.0,19.1
PARÁ,BREU BRANCO,0.44,28.2
MARANHÃO,SANTA LUZIA DO PARUÁ,1.0,19.1
PARÁ,ORIXIMINÁ,0.19,84.8
MARANHÃO,TURILÂNDIA,1.0,36.5
PARÁ,BREU BRANCO,0.41,13.0
PARÁ,URUARÁ,1.0,32.0
MARANHÃO,CENTRO NOVO DO MARANHÃO,0.86,18.9
PARÁ,NOVO REPARTIMENTO,0.92,26.4
PARÁ,MONTE ALEGRE,0.64,93.6
PARÁ,PRAINHA,0.96,1113.3
AMAPÁ,MAZAGÃO,0.82,19.7
PARÁ,PRAINHA,1.0,16.5
PARÁ,TAILÂNDIA,0.64,8.0
PARÁ,TERRA ALTA,0.89,12.7
PARÁ,ALENQUER,0.51,262.8
AMAPÁ,VITÓRIA DO JARI,0.29,7.1
PARÁ,PACAJÁ,0.59,31.7
PARÁ,PORTEL,0.71,5.6
PARÁ,PACAJÁ,0.71,7.3
PARÁ,RURÓPOLIS,0.2,40.4
PARÁ,PACAJÁ,0.91,5.6
MARANHÃO,SANTA LUZIA,1.0,19.4
PARÁ,PACAJÁ,0.86,8.3
PARÁ,PORTO DE MOZ,0.85,15.5
PARÁ,ALENQUER,0.52,67.7
MARANHÃO,SATUBINHA,1.0,41.4
PARÁ,ÓBIDOS,1.0,25.0
AMAPÁ,CALÇOENE,0.59,13.7
PARÁ,MOJUÍ DOS CAMPOS,0.92,18.2
PARÁ,CURUÇÁ,0.92,7.7
RORAIMA,NORMANDIA,1.0,47.0
PARÁ,PACAJÁ,0.97,9.6
PARÁ,PRAINHA,0.85,9.0
PARÁ,ACARÁ,0.63,11.4
PARÁ,ITUPIRANGA,0.96,9.3
PARÁ,PACAJÁ,0.98,13.2
MARANHÃO,MONÇÃO,1.0,12.5
PARÁ,RONDON DO PARÁ,0.31,5.8
PARÁ,BREU BRANCO,1.0,10.0
PARÁ,URUARÁ,1.0,23.2
PARÁ,ALENQUER,0.6,357.6
PARÁ,SENADOR JOSÉ PORFÍRIO,0.95,14.8
PARÁ,MONTE ALEGRE,0.63,22.6
MARANHÃO,ARARI,1.0,65.2
PARÁ,CURUÇÁ,0.95,16.5
PARÁ,SÃO FÉLIX DO XINGU,0.66,13.2
PARÁ,ITUPIRANGA,0.62,6.6
PARÁ,PACAJÁ,0.94,11.5
