DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,5.0,0.0,0.9,-3.96148,-51.26474,11.1
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,CURUÁ,Amazônia,5.0,0.2,0.6,-1.41948,-55.39468,189.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,5.0,0.0,0.52,-3.04911,-56.96311,26.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MARABÁ,Amazônia,2.0,0.0,1.0,-5.67785,-49.75044,18.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,16.0,0.0,1.0,-3.54447,-54.08657,10.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,25.0,0.37,0.95,-2.44184,-53.62041,12.5
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ÓBIDOS,Amazônia,11.0,0.0,0.82,-1.76254,-55.34373,28.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,18.0,0.0,0.99,-1.51534,-53.51049,12.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,7.0,0.0,1.0,-4.03818,-48.876,31.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,2.0,1.01,0.34,-4.07792,-50.03201,16.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,14.0,0.3,0.96,-2.54089,-53.40661,159.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ANAPU,Amazônia,12.0,0.0,0.84,-3.3966,-51.25199,15.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,5.0,3.65,0.22,-2.17006,-49.5384,13.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,OIAPOQUE,Amazônia,3.0,0.0,0.15,3.89622,-51.74445,5.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IGARAPÉ-MIRI,Amazônia,5.0,4.58,0.15,-2.33832,-49.17893,15.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,15.0,0.0,0.9,-3.17932,-51.15646,7.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,11.0,0.0,0.81,-3.6408,-49.88896,32.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SÃO FRANCISCO DO BREJÃO,Amazônia,4.0,0.17,0.85,-5.2812,-47.28467,14.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PLACAS,Amazônia,5.0,0.0,0.81,-3.6388,-54.68085,42.0
2024/12/01 17:45:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,5.0,0.0,0.73,0.90135,-59.46404,82.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,5.0,20.94,0.0,-2.18672,-48.83826,74.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,26.0,0.0,0.95,-3.74885,-52.26073,12.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,5.0,0.0,0.91,-4.82367,-48.68657,5.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,MAZAGÃO,Amazônia,5.0,0.92,0.85,-0.33718,-51.60309,16.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,MELGAÇO,Amazônia,5.0,5.73,0.17,-1.77538,-50.89495,52.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.2,1.0,-4.40704,-48.23856,10.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BOM JESUS DAS SELVAS,Amazônia,5.0,0.0,0.83,-4.66778,-46.88213,104.9
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAPÁ,VITÓRIA DO JARI,Amazônia,5.0,3.9,0.29,-1.00477,-51.81792,6.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ORIXIMINÁ,Amazônia,4.0,0.0,0.53,-1.3686,-55.87983,40.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.0,1.0,-2.62796,-53.37545,2539.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ITUPIRANGA,Amazônia,10.0,0.0,1.0,-5.00601,-49.88165,6.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,CIDELÂNDIA,Amazônia,3.0,0.0,0.24,-5.23399,-47.8336,16.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,7.0,3.29,0.97,-4.32211,-45.93752,29.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,6.0,0.0,0.98,-2.75976,-47.8988,10.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BREJO DE AREIA,Amazônia,6.0,0.0,1.0,-4.43628,-45.54226,114.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,5.0,2.39,0.94,-4.35185,-45.93343,12.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,GOVERNADOR NUNES FREIRE,Amazônia,61.0,0.2,1.0,-1.88639,-45.82712,24.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-2.97632,-53.88463,33.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BRASIL NOVO,Amazônia,16.0,0.0,0.96,-2.83343,-52.58621,12.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,14.0,0.0,0.86,-3.3941,-50.79636,5.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PLACAS,Amazônia,5.0,0.0,0.87,-3.75399,-54.50791,28.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVA IPIXUNA,Amazônia,5.0,0.0,0.86,-4.757,-49.31097,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BOA VISTA DO GURUPI,Amazônia,31.0,0.0,1.0,-1.75237,-46.29184,49.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,5.0,10.8,0.17,-2.06156,-48.67122,7.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,ARAME,Amazônia,7.0,0.0,0.94,-4.80207,-45.78797,22.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,13.0,0.0,0.78,-3.12768,-51.12457,7.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,10.0,0.0,1.0,-4.40385,-50.82473,9.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RURÓPOLIS,Amazônia,4.0,0.1,0.05,-4.4941,-55.56594,26.6
2024/12/01 17:45:00,AQUA_M-T,Brasil,AMAZONAS,NHAMUNDÁ,Amazônia,5.0,0.41,0.49,-2.30648,-57.09039,62.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TUCURUÍ,Amazônia,4.0,0.2,0.4,-4.02585,-49.93604,6.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,BURITICUPU,Amazônia,12.0,0.68,0.94,-4.42494,-46.29158,49.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,2.0,16.64,0.0,-4.45043,-49.67887,57.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,4.0,0.0,0.93,-4.59105,-50.64897,15.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,11.0,0.0,0.79,-3.63193,-49.89027,22.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.84,-4.7802,-48.65453,19.0
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,5.0,1.06,0.78,-2.42205,-48.0493,22.6
